"","estimate","se","zval","pval","ci.lb","ci.ub"
"intrcpt",-0.0920612895207344,0.262013541832644,-0.351360807066745,0.725317681697595,-0.605598394974496,0.421475815933028
"PesticideTypeHerbicide",-0.117337243032308,0.276429315789608,-0.424474671570703,0.671219673358921,-0.65912874625099,0.424454260186374
"PesticideTypeInsecticide",-0.308146533352303,0.229599117192318,-1.34210678647424,0.179561373763566,-0.758152533931438,0.141859467226831
"PesticideTypeMultiSubstance",-0.392270135567657,0.220388948921914,-1.77989929842917,0.0750924425452979,-0.824224538045247,0.039684266909933
"TemporalExtentmonths",0.191767612949089,0.199506358180171,0.961210533330002,0.336446321227885,-0.199257663770795,0.582792889668972
"TemporalExtentyears",-0.0328852600387252,0.211809928961883,-0.155258349785119,0.87661764944399,-0.448025092372003,0.382254572294553
