"","estimate","se","zval","pval","ci.lb","ci.ub"
"intrcpt",-0.613913082316499,0.217720367862893,-2.81973197244965,0.00480637769661792,-1.04063716202858,-0.187189002604417
"PesticideType2MultiSubstance",0.259005153905024,0.240420393738375,1.07730109695633,0.281345772400704,-0.21221015897113,0.730220466781178
"PesticideType2Single_Insecticide",0.371366214494054,0.251905360717617,1.47422910507392,0.140419915927799,-0.122359220025046,0.865091649013154
"PesticideType2Single_NotInsecticide",0.658294241489539,0.254313259278135,2.58851718293454,0.00963901378521188,0.159849412513398,1.15673907046568
"BiodivMetricBroadDiversity",-0.266194529479045,0.132913025336207,-2.00277233029418,0.0452017310915074,-0.52669927221427,-0.00568978674381915
