"","estimate","se","zval","pval","ci.lb","ci.ub"
"intrcpt",-0.706457309100081,0.273380488651118,-2.58415409448494,0.00976181692546114,-1.24227322093223,-0.170641397267929
"PesticideTypeFungicide",0.750362377092521,0.292365285990566,2.56652350004621,0.0102723664399582,0.177336946221258,1.32338780796378
"PesticideTypeHerbicide",0.724236452858926,0.308939258018184,2.34426811763851,0.0190644610309068,0.118726633732757,1.32974627198509
"PesticideTypeInsecticide",0.430384046633907,0.263924457313987,1.63070922268445,0.102951689626118,-0.0868983843407857,0.947666477608599
"PesticideTypeMultiSubstance",0.275282866356976,0.244619261653083,1.12535237207681,0.260439745041775,-0.204162076407847,0.754727809121799
"BodyTraitSoft body",-0.136710575678295,0.129664442116261,-1.05434129393559,0.291726689386945,-0.390848212301644,0.117427060945055
